ID,Genes
346,"RAD54L, HR54, HRAD54"
346,BCL10
346,"PTPN12, PTPG1"
346,"TGFBR2, HNPCC6"
346,"SRC, ASV, SRC1"
346,"MLH3, HNPCC7"
346,"PTPRJ, DEP1"
346,ODC1
346,"RET, MEN2A"
346,"OPN1MW, GCP, CBD, CBBM"
346,"OPN1LW, RCP, CBP, CBBM"
346,"OPN1SW, BCP, CBT"
346,MUTYH
346,AXIN2
347,"BUB1B, BUBR1"
348,EP300
348,"PDGFRL, PDGRL, PRLTS"
348,PIK3CA
350,"TP53, P53, LFS1"
351,"APC, GS, FPC"
351,BAX
352,CTNNB1
352,DCC
352,MCC
352,NRAS
352,"MSH2, COCA1, FCC1, HNPCC1"
352,"MLH1, COCA2, HNPCC2"
352,"PMS1, PMSL1, HNPCC3"
352,"PMS2, PMSL2, HNPCC4"
354,"MSH6, GTBP, HNPCC5"
354,"TGFBR2, HNPCC6"
354,"FGFR3, ACH"
354,"FLCN, BHD"
354,"MLH3, HNPCC7"
354,BRAF
354,DLC1
354,"PLA2G2A, PLA2B, PLA2L, MOM1"
354,"CCND1, PRAD1, BCL1"
354,BUB1
354,C6
354,"LMAN1, ERGIC53, F5F8D, MCFD1"
354,"LPL, LIPD"
355,"IL2RG, SCIDX1, SCIDX, IMD4"
355,"GFM1, EFG1, GFM"
356,"PSAP, SAP1"
357,NDUFS6
358,"ATPAF2, ATP12"
359,"RPGR, RP3, CRD, RP15, COD1"
360,"GUCA1A, GCAP"
361,"RPGR, RP3, CRD, RP15, COD1"
362,"ABCA4, ABCR, STGD1, FFM, RP19"
362,"AIPL1, LCA4"
362,"GUCY2D, GUC2D, LCA1, CORD6"
362,"RPGRIP1, LCA6, CORD9"
362,"CRX, CORD2, CRD"
362,"CFTR, ABCC7, CF, MRP7"
362,"CTDP1, FCP1, CCFDN"
362,ALG6
362,"ALG3, NOT56L, CDGS4"
362,"DPM1, MPDS, CDGIE"
362,"MPDU1, SL15, CDGIF"
362,ALG12
364,ALG8
365,"ALG2, CDGII"
365,"DIBD1, ALG9"
365,"SLC35C1, FUCT1"
365,"B4GALT1, GGTB2, GT1, GTB"
365,"COG7, CDG2E"
365,"DPAGT2, DGPT"
365,"ALG1, HMAT1, HMT1"
366,"ADRA2C, ADRA2L2"
367,"ADRB1, ADRB1R, RHR"
368,PLG
368,"TBX1, DGS, CTHM, CAFS, TGA, DORV, VCFS, DGCR"
